epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.24286961555480957,4.343764781951904,1e-04,0.1796875,7.5528717041015625
1,0.28587886691093445,3.5651659965515137,1e-04,0.3596540093421936,3.1868011951446533
2,0.3117821514606476,3.068448305130005,1e-04,0.3821149468421936,2.7310540676116943
3,0.3307034373283386,2.6669681072235107,1e-04,0.4089006781578064,2.339937448501587
4,0.3582475185394287,2.3475232124328613,1e-04,0.4006696343421936,2.1319663524627686
5,0.38257986307144165,2.1066837310791016,1e-04,0.4195033609867096,1.9660682678222656
6,0.4082038700580597,1.9128365516662598,1e-04,0.4820033609867096,1.675485610961914
7,0.4328504204750061,1.7584272623062134,1e-04,0.4702846109867096,1.6275837421417236
8,0.45665910840034485,1.6420787572860718,1e-04,0.5124163031578064,1.4711328744888306
9,0.48189911246299744,1.5472384691238403,1e-04,0.5239955186843872,1.3959249258041382
